Query,Run,Time (ms)
1-Hop Traversal,12,114.63
1-Hop Traversal,13,110.23
1-Hop Traversal,14,89.20
1-Hop Traversal,15,104.02
1-Hop Traversal,16,105.89
1-Hop Traversal,17,93.14
1-Hop Traversal,18,98.90
1-Hop Traversal,19,114.11
1-Hop Traversal,20,94.59
1-Hop Traversal,21,105.16
1-Hop Traversal,22,105.34
1-Hop Traversal,23,101.56
1-Hop Traversal,24,102.55
1-Hop Traversal,25,96.81
1-Hop Traversal,26,96.41
1-Hop Traversal,27,94.19
1-Hop Traversal,28,165.16
1-Hop Traversal,29,94.00
1-Hop Traversal,30,111.05
1-Hop Traversal,31,100.12
1-Hop Traversal,32,97.21
1-Hop Traversal,33,108.56
1-Hop Traversal,34,114.75
1-Hop Traversal,35,101.48
1-Hop Traversal,36,95.97
1-Hop Traversal,37,98.85
1-Hop Traversal,38,89.46
1-Hop Traversal,39,91.27
1-Hop Traversal,40,101.16
1-Hop Traversal,41,115.98
1-Hop Traversal,42,91.14
1-Hop Traversal,43,100.77
1-Hop Traversal,44,101.82
1-Hop Traversal,45,101.34
1-Hop Traversal,46,117.52
1-Hop Traversal,47,88.86
1-Hop Traversal,48,89.39
1-Hop Traversal,49,90.65
1-Hop Traversal,50,89.58
1-Hop Traversal,51,103.41
1-Hop Traversal,52,105.14
1-Hop Traversal,53,93.17
1-Hop Traversal,54,99.23
1-Hop Traversal,55,108.62
1-Hop Traversal,56,93.64
1-Hop Traversal,57,99.87
1-Hop Traversal,58,100.48
1-Hop Traversal,59,132.65
1-Hop Traversal,60,111.15
1-Hop Traversal,61,93.81
1-Hop Traversal,62,90.95
1-Hop Traversal,63,109.87
1-Hop Traversal,64,100.10
1-Hop Traversal,65,100.44
1-Hop Traversal,66,130.42
1-Hop Traversal,67,98.30
1-Hop Traversal,68,117.51
1-Hop Traversal,69,101.66
1-Hop Traversal,70,120.76
1-Hop Traversal,71,99.18
1-Hop Traversal,72,91.24
1-Hop Traversal,73,98.47
1-Hop Traversal,74,102.24
1-Hop Traversal,75,98.28
1-Hop Traversal,76,94.96
1-Hop Traversal,77,100.55
1-Hop Traversal,78,95.86
1-Hop Traversal,79,242.30
1-Hop Traversal,80,96.46
1-Hop Traversal,81,118.09
1-Hop Traversal,82,91.68
1-Hop Traversal,83,101.87
1-Hop Traversal,84,100.79
1-Hop Traversal,85,102.00
1-Hop Traversal,86,96.86
1-Hop Traversal,87,98.81
1-Hop Traversal,88,119.65
1-Hop Traversal,89,114.72
1-Hop Traversal,90,97.83
1-Hop Traversal,91,104.63
1-Hop Traversal,92,102.89
1-Hop Traversal,93,108.36
1-Hop Traversal,94,109.11
1-Hop Traversal,95,113.87
1-Hop Traversal,96,108.04
1-Hop Traversal,97,100.25
1-Hop Traversal,98,91.06
1-Hop Traversal,99,99.34
1-Hop Traversal,100,106.49
2-Hop Traversal,1,122.68
2-Hop Traversal,2,118.85
2-Hop Traversal,3,101.03
2-Hop Traversal,4,170.19
2-Hop Traversal,5,105.67
2-Hop Traversal,6,108.37
2-Hop Traversal,7,97.90
2-Hop Traversal,8,92.19
2-Hop Traversal,9,93.37
2-Hop Traversal,10,101.68
2-Hop Traversal,11,96.22
2-Hop Traversal,12,94.49
2-Hop Traversal,13,113.48
2-Hop Traversal,14,109.94
2-Hop Traversal,15,136.21
2-Hop Traversal,16,111.80
2-Hop Traversal,17,89.92
2-Hop Traversal,18,131.58
2-Hop Traversal,19,107.75
2-Hop Traversal,20,124.69
2-Hop Traversal,21,117.37
2-Hop Traversal,22,105.99
2-Hop Traversal,23,110.03
2-Hop Traversal,24,102.91
2-Hop Traversal,25,129.61
2-Hop Traversal,26,148.68
2-Hop Traversal,27,139.21
2-Hop Traversal,28,122.55
2-Hop Traversal,29,114.79
2-Hop Traversal,30,113.75
2-Hop Traversal,31,125.42
2-Hop Traversal,32,139.46
2-Hop Traversal,33,109.81
2-Hop Traversal,34,109.29
2-Hop Traversal,35,115.54
2-Hop Traversal,36,111.80
2-Hop Traversal,37,120.60
2-Hop Traversal,38,106.30
2-Hop Traversal,39,108.12
2-Hop Traversal,40,129.19
2-Hop Traversal,41,100.00
2-Hop Traversal,42,105.56
2-Hop Traversal,43,124.41
2-Hop Traversal,44,97.60
2-Hop Traversal,45,105.00
2-Hop Traversal,46,176.39
2-Hop Traversal,47,104.23
2-Hop Traversal,48,160.87
2-Hop Traversal,49,112.98
2-Hop Traversal,50,104.86
2-Hop Traversal,51,97.29
2-Hop Traversal,52,139.30
2-Hop Traversal,53,128.53
2-Hop Traversal,54,125.12
2-Hop Traversal,55,107.35
2-Hop Traversal,56,268.86
2-Hop Traversal,57,159.82
2-Hop Traversal,58,101.27
2-Hop Traversal,59,112.74
2-Hop Traversal,60,102.76
2-Hop Traversal,61,92.05
2-Hop Traversal,62,120.15
2-Hop Traversal,63,104.50
2-Hop Traversal,64,101.36
2-Hop Traversal,65,104.14
2-Hop Traversal,66,109.68
2-Hop Traversal,67,114.95
2-Hop Traversal,68,97.61
2-Hop Traversal,69,96.16
2-Hop Traversal,70,103.68
2-Hop Traversal,71,151.15
2-Hop Traversal,72,100.72
2-Hop Traversal,73,103.32
2-Hop Traversal,74,96.19
2-Hop Traversal,75,113.22
2-Hop Traversal,76,103.93
2-Hop Traversal,77,101.00
2-Hop Traversal,78,126.69
2-Hop Traversal,79,104.34
2-Hop Traversal,80,109.24
2-Hop Traversal,81,110.31
2-Hop Traversal,82,108.84
2-Hop Traversal,83,98.69
2-Hop Traversal,84,105.84
2-Hop Traversal,85,150.47
2-Hop Traversal,86,99.37
2-Hop Traversal,87,107.83
2-Hop Traversal,88,113.15
2-Hop Traversal,89,92.75
2-Hop Traversal,90,121.96
2-Hop Traversal,91,103.54
2-Hop Traversal,92,94.18
2-Hop Traversal,93,104.27
2-Hop Traversal,94,113.01
2-Hop Traversal,95,97.99
2-Hop Traversal,96,106.58
2-Hop Traversal,97,93.42
2-Hop Traversal,98,92.34
2-Hop Traversal,99,95.53
2-Hop Traversal,100,96.34
3-Hop Traversal,1,268.83
3-Hop Traversal,2,255.31
3-Hop Traversal,3,261.46
3-Hop Traversal,4,258.84
3-Hop Traversal,5,240.53
3-Hop Traversal,6,241.60
3-Hop Traversal,7,287.94
3-Hop Traversal,8,258.16
3-Hop Traversal,9,300.68
3-Hop Traversal,10,406.17
3-Hop Traversal,11,232.12
3-Hop Traversal,12,288.43
3-Hop Traversal,13,220.58
3-Hop Traversal,14,433.42
3-Hop Traversal,15,262.18
3-Hop Traversal,16,252.48
3-Hop Traversal,17,276.20
3-Hop Traversal,18,311.83
3-Hop Traversal,19,279.97
3-Hop Traversal,20,239.01
3-Hop Traversal,21,409.35
3-Hop Traversal,22,329.23
3-Hop Traversal,23,243.05
3-Hop Traversal,24,231.54
3-Hop Traversal,25,300.47
3-Hop Traversal,26,243.74
3-Hop Traversal,27,253.39
3-Hop Traversal,28,243.40
3-Hop Traversal,29,261.32
3-Hop Traversal,30,303.77
3-Hop Traversal,31,264.72
3-Hop Traversal,32,239.51
3-Hop Traversal,33,325.12
3-Hop Traversal,34,239.19
3-Hop Traversal,35,255.75
3-Hop Traversal,36,255.08
3-Hop Traversal,37,267.88
3-Hop Traversal,38,271.34
3-Hop Traversal,39,243.81
3-Hop Traversal,40,271.13
3-Hop Traversal,41,228.43
3-Hop Traversal,42,350.93
3-Hop Traversal,43,312.83
3-Hop Traversal,44,377.38
3-Hop Traversal,45,418.86
3-Hop Traversal,46,490.61
3-Hop Traversal,47,247.11
3-Hop Traversal,48,265.76
3-Hop Traversal,49,248.17
3-Hop Traversal,50,260.92
